,home_team,away_team,date,league,season,home_score,away_score,home_xg,away_xg,datetime,home_standings,away_standings,home_points,away_points,home_points_last_4_matches,away_points_last_4_matches,home_points_last_2_home_matches,away_points_last_2_away_matches,home_goals_last_4_matches,away_goals_last_4_matches,home_goals_last_2_home_matches,away_goals_last_2_away_matches,home_goals_against_last_4_matches,away_goals_against_last_4_matches,home_goals_against_last_2_home_matches,away_goals_against_last_2_away_matches,home_mean_xg_last_4_matches,away_mean_xg_last_4_matches,home_mean_xg_last_2_home_matches,away_mean_xg_last_2_away_matches,home_mean_xg_against_last_4_matches,away_mean_xg_against_last_4_matches,home_mean_xg_against_last_2_home_matches,away_mean_xg_against_last_2_away_matches
9594,Reims,Paris Saint Germain,August 08 2014,Ligue 1,2014/2015,2,2,1.37,2.66,2014-08-08,16,15,0,0,,,,,,,,,,,,,,,,,,,,
9596,Evian Thonon Gaillard,Caen,August 09 2014,Ligue 1,2014/2015,0,3,0.81,1.24,2014-08-09,5,4,0,0,,,,,,,,,,,,,,,,,,,,
9597,Guingamp,Saint-Etienne,August 09 2014,Ligue 1,2014/2015,0,2,0.63,1.5,2014-08-09,5,18,0,0,,,,,,,,,,,,,,,,,,,,
9598,Lille,Metz,August 09 2014,Ligue 1,2014/2015,0,0,1.54,0.06,2014-08-09,7,11,0,0,,,,,,,,,,,,,,,,,,,,
9599,Montpellier,Bordeaux,August 09 2014,Ligue 1,2014/2015,0,1,1.02,0.75,2014-08-09,13,7,0,0,,,,,,,,,,,,,,,,,,,,
9600,Nantes,Lens,August 09 2014,Ligue 1,2014/2015,1,0,1.03,0.17,2014-08-09,13,8,0,0,,,,,,,,,,,,,,,,,,,,
9601,Nice,Toulouse,August 09 2014,Ligue 1,2014/2015,3,2,2.21,1.56,2014-08-09,13,16,0,0,,,,,,,,,,,,,,,,,,,,
9595,SC Bastia,Marseille,August 09 2014,Ligue 1,2014/2015,3,3,1.4,1.32,2014-08-09,15,12,0,0,,,,,,,,,,,,,,,,,,,,
9602,Lyon,Rennes,August 10 2014,Ligue 1,2014/2015,2,0,2.06,0.38,2014-08-10,13,15,0,0,,,,,,,,,,,,,,,,,,,,
9603,Monaco,Lorient,August 10 2014,Ligue 1,2014/2015,1,2,2.09,1.63,2014-08-10,14,13,0,0,,,,,,,,,,,,,,,,,,,,
